ProductId, CodeName, Description, Category, Color, ProductionDate
1, wygqd, NA, 5, Yellow, 11/30/1998
2, xonlr, NA, 5, Yellow, 10/29/2016
3, bmnye, NA, 3, Red, 9/23/2018
4, jeoql, NA, 2, Red, 6/10/2002
5, avxur, NA, 5, Green, 11/8/1999
6, cioie, NA, 2, Green, 7/9/2010
7, tocnd, NA, 3, Blue, 1/26/2013
8, xagzp, NA, 5, Yellow, 7/22/2017
9, pqkwz, NA, 3, Blue, 2/15/2005
10, niwwk, NA, 5, Green, 6/6/2012
11, saxxf, NA, 4, Red, 8/4/2006
12, fzxqy, NA, 2, Yellow, 8/29/2019
13, yztnf, NA, 1, Yellow, 4/5/2010
14, tfzvw, NA, 2, Yellow, 5/2/2013
15, xnhpa, NA, 1, Yellow, 5/19/2007
16, wdqan, NA, 1, Blue, 5/10/1999
17, sryly, NA, 3, Green, 11/30/2008
18, modam, NA, 1, Yellow, 11/7/2017
19, lstks, NA, 3, Blue, 5/10/1995
20, pqrcz, NA, 3, Red, 9/13/2008
21, hmceu, NA, 3, Green, 3/20/1997
22, zecmj, NA, 2, Red, 2/28/2004
23, seovl, NA, 5, Yellow, 10/4/2007
24, nnvix, NA, 4, Green, 2/23/2006
25, spsav, NA, 5, Red, 11/7/2000
26, ljlox, NA, 2, Yellow, 3/30/2012
27, zskua, NA, 2, Red, 6/1/1995
28, qkrhg, NA, 4, Red, 2/16/2018
29, bettq, NA, 3, Blue, 4/10/2011
30, mejbc, NA, 3, Red, 10/29/2001
31, lqifb, NA, 5, Green, 2/17/2003
32, lyjko, NA, 4, Green, 1/10/2005
33, xxmsy, NA, 3, Red, 11/24/2002
34, oyhvr, NA, 2, Yellow, 6/18/1996
35, pvwqp, NA, 2, Yellow, 3/29/2001
36, hbhsh, NA, 4, Blue, 7/23/2013
37, bvdeu, NA, 1, Green, 3/17/1997
38, barda, NA, 1, Green, 11/15/1996
39, gzuso, NA, 3, Red, 4/9/2007
40, ktlwa, NA, 4, Green, 11/30/2016
41, afuvx, NA, 5, Red, 10/2/2007
42, ytppp, NA, 3, Yellow, 10/24/2003
43, axliy, NA, 2, Yellow, 1/20/1999
44, xmtbq, NA, 3, Yellow, 3/22/1995
45, zwcvh, NA, 1, Red, 12/6/1999
46, khuvx, NA, 4, Blue, 11/8/2003
47, bgwcl, NA, 1, Red, 3/20/2012
48, rfylt, NA, 5, Green, 3/19/2008
49, qlptg, NA, 5, Green, 11/11/2016
50, ksyqj, NA, 5, Green, 10/23/2012
51, ksakd, NA, 3, Yellow, 10/12/2019
52, zfebg, NA, 2, Yellow, 12/17/1995
53, lvemt, NA, 5, Green, 4/18/2003
54, iartt, NA, 1, Green, 3/8/2000
55, pkbbn, NA, 5, Blue, 1/16/2006
56, shtbs, NA, 4, Green, 4/24/2016
57, sbfnn, NA, 2, Yellow, 4/4/1999
58, xwcci, NA, 1, Green, 4/9/2019
59, sfmvz, NA, 4, Yellow, 7/4/2018
60, boump, NA, 5, Blue, 7/2/2013
61, lhbrz, NA, 3, Blue, 12/11/2018
62, qzdrj, NA, 3, Blue, 11/22/2011
63, tzinj, NA, 4, Blue, 8/19/2013
64, tgmzk, NA, 4, Blue, 5/11/2002
65, kqqay, NA, 1, Blue, 8/9/2016
66, ubezu, NA, 4, Green, 9/12/2011
67, fbspk, NA, 2, Yellow, 5/23/2018
68, xhytm, NA, 4, Red, 3/30/2006
69, nzgsa, NA, 2, Red, 1/27/2003
70, epsho, NA, 5, Green, 12/4/2004
71, pctjo, NA, 1, Green, 7/30/2016
72, oycqy, NA, 3, Green, 4/3/1996
73, bvmuk, NA, 2, Blue, 12/11/2017
74, gvlvf, NA, 5, Blue, 6/23/2014
75, iwdjs, NA, 3, Red, 7/29/2011
76, guecf, NA, 4, Green, 2/19/1999
77, ijgtx, NA, 1, Green, 1/8/1999
78, twcsl, NA, 4, Yellow, 3/20/2018
79, uphbx, NA, 4, Red, 2/25/2017
80, avopt, NA, 2, Yellow, 6/12/2001
81, xinvn, NA, 1, Yellow, 7/27/2004
82, fmqwo, NA, 1, Yellow, 6/20/1996
83, okhqw, NA, 2, Red, 7/21/2017
84, twsbp, NA, 3, Red, 6/13/1996
85, eavcl, NA, 3, Green, 2/10/2005
86, zdvlg, NA, 3, Red, 5/14/2014
87, qgbiz, NA, 5, Green, 7/21/1995
88, cccrr, NA, 5, Red, 1/24/2008
89, odrof, NA, 1, Yellow, 12/11/1997
90, ewrsb, NA, 1, Green, 8/7/2014
91, atlja, NA, 5, Red, 11/8/2009
92, uwzii, NA, 1, Yellow, 8/21/2008
93, orxdc, NA, 3, Green, 3/9/2002
94, jxdcj, NA, 3, Green, 4/22/2007
95, xcqxb, NA, 2, Green, 6/1/2000
96, pntjd, NA, 5, Red, 7/11/2008
97, dfekx, NA, 4, Green, 12/5/1995
98, zyzdl, NA, 4, Green, 11/10/2005
99, yrkfx, NA, 2, Green, 11/24/2015
100, nynpo, NA, 2, Blue, 6/12/2004
101, bnzei, NA, 5, Blue, 8/30/2007
102, gxxdg, NA, 5, Blue, 8/3/1995
103, sllld, NA, 1, Blue, 8/13/2010
104, vuwyn, NA, 2, Yellow, 3/16/2002
105, oebym, NA, 4, Red, 12/16/2010
106, gnzzy, NA, 3, Green, 8/15/2001
107, liwdy, NA, 3, Red, 6/6/2018
108, trinq, NA, 3, Yellow, 9/9/2006
109, shocz, NA, 5, Blue, 9/1/2008
110, lzepr, NA, 1, Yellow, 12/1/2013
111, rjmel, NA, 3, Blue, 6/6/1996
112, lqeuh, NA, 4, Yellow, 10/25/2005
113, eagqs, NA, 4, Green, 11/4/1995
114, quryt, NA, 5, Yellow, 8/21/1997
115, iuwgz, NA, 1, Green, 8/2/1999
116, qyqij, NA, 4, Yellow, 8/30/2017
117, fklrn, NA, 1, Green, 3/30/2013
118, vpoqj, NA, 4, Green, 11/20/2012
119, wemnp, NA, 2, Green, 4/6/2008
120, mpauk, NA, 5, Green, 2/27/2000
121, zrtjr, NA, 4, Yellow, 10/29/1997
122, yfljq, NA, 3, Blue, 9/14/2016
123, bhmel, NA, 5, Blue, 11/5/2001
124, olexs, NA, 4, Blue, 3/18/1996
125, bvrsz, NA, 4, Red, 5/11/2007
126, rxokc, NA, 4, Yellow, 1/5/2006
127, hcsdt, NA, 4, Blue, 8/31/2003
128, fcugy, NA, 4, Blue, 6/25/2009
129, yvivf, NA, 5, Green, 11/8/2008
130, psnos, NA, 3, Green, 1/22/1996
131, coqqi, NA, 1, Yellow, 10/22/1997
132, nynws, NA, 4, Green, 8/30/2005
133, aqlhd, NA, 1, Green, 7/30/2007
134, denav, NA, 4, Blue, 8/3/2013
135, nrdkz, NA, 1, Green, 6/10/2000
136, ypihb, NA, 5, Yellow, 6/7/1996
137, ykncp, NA, 1, Green, 4/9/2002
138, ewmdp, NA, 3, Red, 1/20/2017
139, yijah, NA, 4, Green, 3/30/2005
140, bpjne, NA, 5, Red, 11/21/1997
141, hjblg, NA, 1, Yellow, 10/17/2017
142, rogct, NA, 2, Yellow, 11/12/2005
143, toisr, NA, 1, Red, 12/17/2015
144, hsazy, NA, 3, Green, 3/10/2007
145, ekwgv, NA, 1, Blue, 1/2/2006
146, tdjte, NA, 1, Yellow, 2/14/1996
147, jiuqu, NA, 4, Red, 6/18/2019
148, lodnx, NA, 3, Blue, 7/25/2009
149, dfxjp, NA, 1, Blue, 4/12/1995
150, aiynm, NA, 2, Red, 8/30/1998
151, qkqqs, NA, 2, Blue, 3/22/2014
152, zkugh, NA, 1, Blue, 11/16/2019
153, wepzd, NA, 1, Red, 2/27/2013
154, cmqla, NA, 2, Red, 9/24/2016
155, fxxmy, NA, 2, Green, 3/25/2011
156, ysjfg, NA, 2, Blue, 5/25/2019
157, eurho, NA, 1, Red, 10/15/2003
158, jhofd, NA, 5, Red, 5/31/2015
159, kmajc, NA, 1, Red, 4/9/2011
160, sgbkj, NA, 2, Red, 11/2/2015
161, mpggf, NA, 1, Red, 8/20/2011
162, vacrc, NA, 5, Green, 11/8/2000
163, ohuty, NA, 1, Red, 11/20/2010
164, olphh, NA, 3, Green, 12/8/2011
